transaction_id,customer_id,transaction_date,amount,transaction_type,status,payment_method,year_month,cohort_month,transaction_month
CUST_000001_TXN_0001,CUST_000001,2023-01-31,52.78,New,Completed,Credit Card,2023-01,2023-01,2023-01
CUST_000001_TXN_0002,CUST_000001,2023-02-28,52.87,Subscription,Completed,Credit Card,2023-02,2023-01,2023-02
CUST_000001_TXN_0003,CUST_000001,2023-03-28,52.84,Subscription,Completed,Credit Card,2023-03,2023-01,2023-03
CUST_000001_TXN_0004,CUST_000001,2023-04-28,53.22,Subscription,Completed,Credit Card,2023-04,2023-01,2023-04
CUST_000001_TXN_0005,CUST_000001,2023-05-28,51.86,Subscription,Completed,Wire Transfer,2023-05,2023-01,2023-05
CUST_000001_TXN_0006,CUST_000001,2023-06-28,47.05,Subscription,Completed,PayPal,2023-06,2023-01,2023-06
CUST_000001_TXN_0007,CUST_000001,2023-07-28,49.53,Subscription,Completed,Wire Transfer,2023-07,2023-01,2023-07
CUST_000001_TXN_0008,CUST_000001,2023-08-28,47.83,Subscription,Completed,Credit Card,2023-08,2023-01,2023-08
CUST_000001_TXN_0009,CUST_000001,2023-09-28,48.12,Subscription,Completed,Credit Card,2023-09,2023-01,2023-09
CUST_000001_TXN_0010,CUST_000001,2023-10-28,69.56,Subscription,Completed,Credit Card,2023-10,2023-01,2023-10
CUST_000001_TXN_0011,CUST_000001,2023-11-28,45.58,Subscription,Completed,ACH,2023-11,2023-01,2023-11
CUST_000001_TXN_0012,CUST_000001,2023-12-28,51.68,Subscription,Completed,ACH,2023-12,2023-01,2023-12
CUST_000001_TXN_0013,CUST_000001,2024-01-28,44.99,Subscription,Completed,Credit Card,2024-01,2023-01,2024-01
CUST_000001_TXN_0014,CUST_000001,2024-02-28,48.59,Subscription,Completed,Credit Card,2024-02,2023-01,2024-02
CUST_000001_TXN_0015,CUST_000001,2024-03-28,46.45,Subscription,Completed,Credit Card,2024-03,2023-01,2024-03
CUST_000001_TXN_0016,CUST_000001,2024-04-28,52.59,Subscription,Completed,Credit Card,2024-04,2023-01,2024-04
CUST_000001_TXN_0017,CUST_000001,2024-05-28,51.33,Subscription,Completed,Credit Card,2024-05,2023-01,2024-05
CUST_000001_TXN_0018,CUST_000001,2024-06-28,44.19,Subscription,Completed,Credit Card,2024-06,2023-01,2024-06
CUST_000001_TXN_0019,CUST_000001,2024-07-28,46.18,Subscription,Completed,ACH,2024-07,2023-01,2024-07
CUST_000001_TXN_0020,CUST_000001,2024-08-28,53.8,Subscription,Completed,Wire Transfer,2024-08,2023-01,2024-08
CUST_000001_TXN_0021,CUST_000001,2024-09-28,45.26,Subscription,Completed,Credit Card,2024-09,2023-01,2024-09
CUST_000001_TXN_0022,CUST_000001,2024-10-28,45.03,Subscription,Completed,Credit Card,2024-10,2023-01,2024-10
CUST_000001_TXN_0023,CUST_000001,2024-11-28,47.2,Subscription,Completed,Credit Card,2024-11,2023-01,2024-11
CUST_000001_TXN_0024,CUST_000001,2024-12-28,46.1,Subscription,Completed,ACH,2024-12,2023-01,2024-12
CUST_000002_TXN_0001,CUST_000002,2023-12-30,47.67,New,Completed,Credit Card,2023-12,2023-12,2023-12
CUST_000002_TXN_0002,CUST_000002,2024-01-30,77.5,Subscription,Completed,Credit Card,2024-01,2023-12,2024-01
CUST_000002_TXN_0003,CUST_000002,2024-02-29,47.37,Subscription,Completed,Wire Transfer,2024-02,2023-12,2024-02
CUST_000002_TXN_0004,CUST_000002,2024-03-29,47.56,Subscription,Completed,Credit Card,2024-03,2023-12,2024-03
CUST_000002_TXN_0005,CUST_000002,2024-04-29,44.15,Subscription,Completed,Credit Card,2024-04,2023-12,2024-04
CUST_000002_TXN_0006,CUST_000002,2024-05-29,47.9,Subscription,Completed,PayPal,2024-05,2023-12,2024-05
CUST_000002_TXN_0007,CUST_000002,2024-06-29,51.76,Subscription,Completed,ACH,2024-06,2023-12,2024-06
CUST_000002_TXN_0008,CUST_000002,2024-07-29,48.19,Subscription,Completed,Wire Transfer,2024-07,2023-12,2024-07
CUST_000002_TXN_0009,CUST_000002,2024-08-29,50.81,Subscription,Completed,Credit Card,2024-08,2023-12,2024-08
CUST_000002_TXN_0010,CUST_000002,2024-09-29,49.69,Subscription,Completed,PayPal,2024-09,2023-12,2024-09
CUST_000002_TXN_0011,CUST_000002,2024-10-29,44.26,Subscription,Completed,Credit Card,2024-10,2023-12,2024-10
CUST_000002_TXN_0012,CUST_000002,2024-11-29,50.09,Subscription,Completed,ACH,2024-11,2023-12,2024-11
CUST_000002_TXN_0013,CUST_000002,2024-12-29,69.94,Subscription,Completed,Wire Transfer,2024-12,2023-12,2024-12
CUST_000003_TXN_0001,CUST_000003,2022-05-10,157.07,New,Completed,Credit Card,2022-05,2022-05,2022-05
CUST_000003_TXN_0002,CUST_000003,2022-06-10,158.84,Subscription,Completed,Credit Card,2022-06,2022-05,2022-06
CUST_000003_TXN_0003,CUST_000003,2022-07-10,158.59,Subscription,Completed,Credit Card,2022-07,2022-05,2022-07
CUST_000003_TXN_0004,CUST_000003,2022-08-10,147.34,Subscription,Completed,PayPal,2022-08,2022-05,2022-08
CUST_000003_TXN_0005,CUST_000003,2022-09-10,143.44,Subscription,Completed,Credit Card,2022-09,2022-05,2022-09
CUST_000003_TXN_0006,CUST_000003,2022-10-10,161.65,Subscription,Completed,Wire Transfer,2022-10,2022-05,2022-10
CUST_000003_TXN_0007,CUST_000003,2022-11-10,156.48,Subscription,Completed,ACH,2022-11,2022-05,2022-11
CUST_000003_TXN_0008,CUST_000003,2022-12-10,140.87,Subscription,Completed,Credit Card,2022-12,2022-05,2022-12
CUST_000003_TXN_0009,CUST_000003,2023-01-10,144.08,Subscription,Completed,Credit Card,2023-01,2022-05,2023-01
CUST_000003_TXN_0010,CUST_000003,2023-02-10,152.6,Subscription,Completed,Wire Transfer,2023-02,2022-05,2023-02
CUST_000003_TXN_0011,CUST_000003,2023-03-10,156.64,Subscription,Completed,ACH,2023-03,2022-05,2023-03
CUST_000003_TXN_0012,CUST_000003,2023-04-10,152.74,Subscription,Completed,Credit Card,2023-04,2022-05,2023-04
CUST_000003_TXN_0013,CUST_000003,2023-05-10,150.18,Subscription,Completed,Credit Card,2023-05,2022-05,2023-05
CUST_000003_TXN_0014,CUST_000003,2023-06-10,155.08,Subscription,Completed,Credit Card,2023-06,2022-05,2023-06
CUST_000003_TXN_0015,CUST_000003,2023-07-10,136.73,Subscription,Completed,ACH,2023-07,2022-05,2023-07
CUST_000003_TXN_0016,CUST_000003,2023-08-10,135.07,Subscription,Completed,Credit Card,2023-08,2022-05,2023-08
CUST_000003_TXN_0017,CUST_000003,2023-09-10,157.2,Subscription,Completed,Credit Card,2023-09,2022-05,2023-09
CUST_000003_TXN_0018,CUST_000003,2023-10-10,150.24,Subscription,Completed,PayPal,2023-10,2022-05,2023-10
CUST_000003_TXN_0019,CUST_000003,2023-11-10,161.82,Subscription,Completed,Credit Card,2023-11,2022-05,2023-11
CUST_000003_TXN_0020,CUST_000003,2023-12-10,137.16,Subscription,Completed,ACH,2023-12,2022-05,2023-12
CUST_000003_TXN_0021,CUST_000003,2024-01-10,158.01,Subscription,Completed,Wire Transfer,2024-01,2022-05,2024-01
CUST_000003_TXN_0022,CUST_000003,2024-02-10,156.37,Subscription,Completed,PayPal,2024-02,2022-05,2024-02
CUST_000003_TXN_0023,CUST_000003,2024-03-10,142.0,Subscription,Completed,Credit Card,2024-03,2022-05,2024-03
CUST_000004_TXN_0001,CUST_000004,2023-07-18,389.97,New,Completed,Wire Transfer,2023-07,2023-07,2023-07
CUST_000004_TXN_0002,CUST_000004,2023-08-18,436.24,Subscription,Completed,ACH,2023-08,2023-07,2023-08
CUST_000004_TXN_0003,CUST_000004,2023-09-18,408.07,Subscription,Completed,Credit Card,2023-09,2023-07,2023-09
